Sample_hash;River_short;FI_ID;Location_in_river;Hybrid_bool;Other_info
Bla_F172329_P5;Bla;F172329;P5;FALSE;NA
Bla_F172330_P7;Bla;F172330;P7;FALSE;NA
Bla_F172332_L9;Bla;F172332;L9;FALSE;NA
Bla_F172334_L13;Bla;F172334;L13;FALSE;NA
Bla_F172335_L15;Bla;F172335;L15;FALSE;NA
Bla_F172337_N9;Bla;F172337;N9;FALSE;NA
Bla_F172345_N11;Bla;F172345;N11;FALSE;NA
Bla_F172347_N13;Bla;F172347;N13;FALSE;NA
Bla_F172350_N17;Bla;F172350;N17;FALSE;NA
Bla_F172831_J13;Bla;F172831;J13;FALSE;NA
Bla_F172832_J15;Bla;F172832;J15;FALSE;NA
Bla_F172833_J19;Bla;F172833;J19;FALSE;NA
Bla_F172834_J17;Bla;F172834;J17;FALSE;NA
Bla_F172837_J21;Bla;F172837;J21;FALSE;NA
Bla_F172838_J23;Bla;F172838;J23;FALSE;NA
Bla_F172839_L1;Bla;F172839;L1;FALSE;NA
Bla_F172840_L3;Bla;F172840;L3;FALSE;NA
Bla_F172841_L5;Bla;F172841;L5;FALSE;NA
Bla_F172842_L7;Bla;F172842;L7;FALSE;NA
Bla_F172846_P11;Bla;F172846;P11;FALSE;NA
Bla_F172849_P13;Bla;F172849;P13;FALSE;NA
Bla_F172850_P15;Bla;F172850;P15;FALSE;NA
Bla_F172852_P17;Bla;F172852;P17;FALSE;NA
Bla_F172854_P19;Bla;F172854;P19;FALSE;NA
Bla_F172859_P23;Bla;F172859;P23;FALSE;NA
Bla_F172861_L17;Bla;F172861;L17;FALSE;NA
Bla_F172862_L19;Bla;F172862;L19;FALSE;NA
Bla_F172863_L21;Bla;F172863;L21;FALSE;NA
Bla_F172868_L23;Bla;F172868;L23;FALSE;NA
Bla_F172880_N1;Bla;F172880;N1;FALSE;NA
Bla_F172887_N3;Bla;F172887;N3;FALSE;NA
Bla_F172888_N5;Bla;F172888;N5;FALSE;NA
Bla_F172890_N7;Bla;F172890;N7;FALSE;NA
Bla_F172897_N19;Bla;F172897;N19;FALSE;NA
Bla_F172900_N21;Bla;F172900;N21;FALSE;NA
Bla_F172905_N23;Bla;F172905;N23;FALSE;NA
Bla_F172909_P3;Bla;F172909;P3;FALSE;NA
Bre_F171449_D1;Bre;F171449;D1;FALSE;NA
Bre_F171451_D3;Bre;F171451;D3;FALSE;NA
Bre_F171458_D5;Bre;F171458;D5;FALSE;NA
Bre_F171459_D7;Bre;F171459;D7;FALSE;NA
Bre_F171463_D9;Bre;F171463;D9;FALSE;NA
Bre_F171465_D11;Bre;F171465;D11;FALSE;NA
Bre_F171466_D13;Bre;F171466;D13;FALSE;NA
Bre_F171468_D15;Bre;F171468;D15;FALSE;NA
Bre_F171476_D17;Bre;F171476;D17;FALSE;NA
Bre_F171478_D19;Bre;F171478;D19;FALSE;NA
Bre_F171484_D23;Bre;F171484;D23;FALSE;NA
Bre_F171486_F1;Bre;F171486;F1;FALSE;NA
Bre_F171487_F3;Bre;F171487;F3;FALSE;NA
Bre_F171488_F5;Bre;F171488;F5;FALSE;NA
Bre_F171492_F7;Bre;F171492;F7;FALSE;NA
Bre_F171498_F11;Bre;F171498;F11;FALSE;NA
Bre_F171499_F13;Bre;F171499;F13;FALSE;NA
Bre_F171592_F15;Bre;F171592;F15;FALSE;NA
Bre_F171593_F17;Bre;F171593;F17;FALSE;NA
Bre_F171594_F19;Bre;F171594;F19;FALSE;NA
Bre_F171603_F21;Bre;F171603;F21;FALSE;NA
Bre_F171604_F23;Bre;F171604;F23;FALSE;NA
Bre_F171605_H1;Bre;F171605;H1;FALSE;NA
Bre_F171606_H3;Bre;F171606;H3;FALSE;NA
Bre_F171612_H5;Bre;F171612;H5;FALSE;NA
Bre_F171613_H7;Bre;F171613;H7;FALSE;NA
Bre_F171618_H9;Bre;F171618;H9;FALSE;NA
Bre_F171619_H11;Bre;F171619;H11;FALSE;NA
Bre_F171620_H13;Bre;F171620;H13;FALSE;NA
Bre_F171622_H17;Bre;F171622;H17;FALSE;NA
Bre_F171624_H21;Bre;F171624;H21;FALSE;NA
