river_code;river_full_name;country;region;longtitude;latitute
Bla;Blanda;Iceland;Nordurland_vestra;-19.87919917;65.51867694
Bot;Botnsa;Iceland;Vestfirdir;-23.774722;65.595278
Bre;Breidalsa;Iceland;Austurland;-14.0881298;64.78536327
Ell;Ellidaar;Iceland;Reykjanes;-21.84194027;64.12471604
Gri;Grimsa;Iceland;Vesturland;-21.31799889;64.536
Haf;Hafralonsa;Iceland;Nordurland_eystra;-15.42558861;66.10160472
Hof;Hofsa;Iceland;Austurland;-15.06377083;65.61893111
Hvi;Hvita;Iceland;Sudurland;-20.79474417;63.99177972
Kro;Krossa;Iceland;Vesturland;-22.36288785;65.2708294
LaA;Laxa_i_Adaldal;Iceland;Nordurland_eystra;-17.41903581;65.99016869
LaD;Laxa_i_Dolum;Iceland;Vesturland;-21.6078975;65.13565694
Lad;Langadalsa;Iceland;Vestfirdir;-22.34789361;65.89933828
Lan;Langa;Iceland;Vesturland;-22.01322603;64.57226306
Lau;Laugardalsa;Iceland;Vestfirdir;-22.66337944;65.96883361
Nor;Nordura;Iceland;Vesturland;-21.67611111;64.631975
Olf;Olfusa;Iceland;Sudurland;-20.98319694;63.95208389
Sun;Sunnudalsa;Iceland;Vestfirdir;-23.39;65.6
Thj;Thjorsa;Iceland;Sudurland;-20.72854513;63.80430734
Vid;Vididalsa;Iceland;Nordurland_vestra;-20.54060418;65.50180104
